"","salary_range","Year","count_all","count_black","count_vm","count_indigenous","count_pwd"
"1","100,000 and over","2017",25726,507,3587,893,1288
"2","100,000 and over","2018",34385,708,5267,1128,1661
"3","100,000 to 104,999","2023",12844,463,2660,662,832
"4","100,000 to 149,999","2019",34824,741,5624,1193,1651
"5","100,000 to 149,999","2020",40265,950,6920,1384,1816
"6","100,000 to 149,999","2021",49221,1292,8819,1903,2598
"7","100,000 to 149,999","2022",54726,1553,10422,2192,3189
"8","105,000 to 109,999","2023",9098,276,1977,324,526
"9","110,000 to 114,999","2023",8511,271,1573,409,631
"10","115,000 to 119,999","2023",6834,255,1597,261,484
"11","120,000 to 124,999","2023",5895,196,1320,227,320
"12","125,000 to 149,999","2023",14596,347,2668,533,958
"13","15,000 to 49,999","2019",10627,412,1867,603,641
"14","150,000 and over","2023",6157,152,946,243,394
"15","150,000 to 199,999","2019",2220,41,245,59,121
"16","150,000 to 199,999","2020",3240,70,406,2,170
"17","150,000 to 199,999","2021",3634,84,498,130,209
"18","150,000 to 199,999","2022",4032,96,602,142,243
"19","200,000 to 249,999","2019",145,2,15,3,7
"20","200,000 to 249,999","2020",314,1,1,2,15
"21","200,000 to 249,999","2021",342,0,35,9,16
"22","200,000 to 249,999","2022",422,16,56,11,23
"23","25,000 to 49,999","2021",4835,177,782,286,342
"24","25,000 to 49,999","2022",4551,181,798,0,0
"25","250,000 and over","2019",3,2,2,0,0
"26","250,000 and over","2020",5,1,1,0,0
"27","250,000 and over","2021",5,0,0,0,0
"28","250,000 and over","2022",6,0,0,0,0
"29","50,000 to 54,999","2017",20904,810,3516,1207,1239
"30","50,000 to 54,999","2018",17345,696,2965,1014,1055
"31","50,000 to 54,999","2019",18064,956,3324,1081,1083
"32","50,000 to 54,999","2020",18553,1058,3838,1071,1144
"33","50,000 to 54,999","2021",16566,929,3485,979,1141
"34","50,000 to 54,999","2022",15578,963,3623,995,1223
"35","50,000 to 54,999","2023",17514,1378,4733,1079,1496
"36","55,000 to 59,999","2017",16962,538,2666,911,964
"37","55,000 to 59,999","2018",21616,837,3780,1201,1216
"38","55,000 to 59,999","2019",22233,997,4221,1219,1286
"39","55,000 to 59,999","2020",22131,1112,4143,1249,1216
"40","55,000 to 59,999","2021",16097,954,3367,866,866
"41","55,000 to 59,999","2022",15495,936,3286,815,922
"42","55,000 to 59,999","2023",16746,1165,3878,902,1169
"43","60,000 to 64,999","2017",15551,374,2140,854,860
"44","60,000 to 64,999","2018",16539,506,2649,888,922
"45","60,000 to 64,999","2019",17281,606,3112,936,930
"46","60,000 to 64,999","2020",19187,860,3901,1011,1093
"47","60,000 to 64,999","2021",18714,1058,4084,1029,1192
"48","60,000 to 64,999","2022",19131,1212,4478,1007,1394
"49","60,000 to 64,999","2023",20458,1360,5001,1136,1642
"50","65,000 to 69,999","2017",17825,424,2448,981,910
"51","65,000 to 69,999","2018",20799,488,3014,1086,995
"52","65,000 to 69,999","2019",17544,536,2841,991,908
"53","65,000 to 69,999","2020",18403,609,3217,996,974
"54","65,000 to 69,999","2021",21372,1031,4399,1200,1297
"55","65,000 to 69,999","2022",21662,1207,4868,1182,1329
"56","65,000 to 69,999","2023",23218,1408,5661,1307,1623
"57","70,000 to 74,999","2017",13672,368,1847,1045,589
"58","70,000 to 74,999","2018",18553,485,2491,1436,991
"59","70,000 to 74,999","2019",13820,371,2221,796,819
"60","70,000 to 74,999","2020",14379,464,2571,810,807
"61","70,000 to 74,999","2021",21560,903,4333,1169,1208
"62","70,000 to 74,999","2022",22974,1080,4885,1268,1440
"63","70,000 to 74,999","2023",25292,1310,5789,1344,1708
"64","75,000 to 79,999","2017",10527,274,1623,494,509
"65","75,000 to 79,999","2018",9028,240,1345,364,381
"66","75,000 to 79,999","2019",11518,288,1677,688,448
"67","75,000 to 79,999","2020",10622,275,1647,642,404
"68","75,000 to 79,999","2021",14642,476,2474,907,869
"69","75,000 to 79,999","2022",15043,573,2844,906,975
"70","75,000 to 79,999","2023",16021,684,3226,971,1096
"71","80,000 to 84,999","2017",18033,463,2714,1055,1157
"72","80,000 to 84,999","2018",10793,303,1802,539,507
"73","80,000 to 84,999","2019",18183,464,2810,1054,740
"74","80,000 to 84,999","2020",17472,473,2859,1045,717
"75","80,000 to 84,999","2021",16641,454,2708,854,640
"76","80,000 to 84,999","2022",11649,360,2087,623,519
"77","80,000 to 84,999","2023",11295,407,2096,622,540
"78","85,000 to 89,999","2017",7279,252,1310,337,381
"79","85,000 to 89,999","2018",16294,367,2335,953,1008
"80","85,000 to 89,999","2019",18340,457,2793,972,1115
"81","85,000 to 89,999","2020",20511,522,3481,1105,1167
"82","85,000 to 89,999","2021",19438,620,3908,1113,1069
"83","85,000 to 89,999","2022",20747,681,4016,1174,1093
"84","85,000 to 89,999","2023",22431,841,4524,1293,1362
"85","90,000 to 94,999","2017",7448,152,1073,262,359
"86","90,000 to 94,999","2018",8631,332,1685,368,429
"87","90,000 to 94,999","2019",9276,393,1892,427,427
"88","90,000 to 94,999","2020",8953,304,1689,411,427
"89","90,000 to 94,999","2021",16479,453,2563,1064,961
"90","90,000 to 94,999","2022",20617,577,3774,1242,1333
"91","90,000 to 94,999","2023",22142,669,4344,1259,1575
"92","95,000 to 99,999","2017",8433,206,1519,233,450
"93","95,000 to 99,999","2018",7658,188,1182,281,355
"94","95,000 to 99,999","2019",8886,203,1340,409,429
"95","95,000 to 99,999","2020",9769,315,1646,472,520
"96","95,000 to 99,999","2021",8158,303,1585,454,444
"97","95,000 to 99,999","2022",8854,356,1894,490,494
"98","95,000 to 99,999","2023",8853,331,1892,482,598
"99","Total","2017",185484,5218,28058,9726,10259
"100","Total","2018",192467,5538,30273,9876,10181
"101","Total","2019",203268,6468,34004,10435,10622
"102","Total","2020",214120,7427,38145,10888,11087
"103","Total","2021",228345,8754,43122,11977,0
"104","Total","2022",236133,9809,47728,12336,0
"105","Total","2023",253411,11771,55034,13363,0
"106","Under 15,000","2019",304,2,2,3,17
"107","Under 25,000","2021",641,0,0,14,41
"108","Under 25,000","2022",646,0,0,0,0
"109","Under 50,000","2017",23124,850,3615,1454,1553
"110","Under 50,000","2018",10826,388,1758,618,661
"111","Under 50,000","2020",10316,411,1789,573,617
"112","Under 50,000","2022",0,0,0,289,396
"113","Under 50,000","2023",5506,258,1149,309,456
